     0     0
     0     1
     1     0
     0    -1
    -1     0
     1     1
     1    -1
    -1    -1
    -1     1
     0     3
     2     2
     3     0
     2    -2
     0    -3
    -2    -2
    -3     0
    -2     2
     2     5
     5     2
     5    -2
     2    -5
    -2    -5
    -5    -2
    -5     2
    -2     5
     0     7
     5     5
     7     0
     5    -5
     0    -7
    -5    -5
    -7     0
    -5     5
     3     8
     8     3
     8    -3
     3    -8
    -3    -8
    -8    -3
    -8     3
    -3     8
     0    11
     4    10
     8     8
    10     4
    11     0
    10    -4
     8    -8
     4   -10
     0   -11
    -4   -10
    -8    -8
   -10    -4
   -11     0
   -10     4
    -8     8
    -4    10
     3    14
     8    12
    12     8
    14     3
    14    -3
    12    -8
     8   -12
     3   -14
    -3   -14
    -8   -12
   -12    -8
   -14    -3
   -14     3
   -12     8
    -8    12
    -3    14
     0    17
     7    16
    12    12
    16     7
    17     0
    16    -7
    12   -12
     7   -16
     0   -17
    -7   -16
   -12   -12
   -16    -7
   -17     0
   -16     7
   -12    12
    -7    16
